txn_id,date,description,amount,type
TXN-09999,2026-03-01,MYSTERY DEPOSIT NO REF,5000.00,CREDIT
TXN-10000,2026-03-03,"ACH PAYMENT Rodriguez, Figueroa and Sanchez INV-2679",1100.04,CREDIT
TXN-10001,2026-02-22,"WIRE IN Yang, Gardner and Garza REF: INV-2535",1867.84,CREDIT
TXN-10002,2026-02-20,ACH PAYMENT UNKNOWN VENDOR INV-9999,3361.97,CREDIT
TXN-10003,2026-03-15,"ACH PAYMENT Santos, Gardner and Robinson INV-1106",1374.78,CREDIT
TXN-10004,2026-03-19,ACH PAYMENT Wolfe LLC INV-4527,3244.98,CREDIT
TXN-10005,2026-03-01,WIRE TRANSFER Garcia-James REF INV-6635 AND OTHERS,3928.71,CREDIT
TXN-10006,2026-03-03,"WIRE IN Stevens, Martinez and Nielsen REF: INV-5803",3772.56,CREDIT
TXN-10007,2026-03-22,"WIRE IN Montgomery, Hensley and Ray REF: INV-1750",1846.26,CREDIT
TXN-10008,2026-03-08,"ACH PAYMENT Perez, Roberts and Miller INV-2654",2519.71,CREDIT
TXN-10009,2026-03-02,PAYMENT FROM Ramirez-Reid FOR IN-7065,3414.9,CREDIT
TXN-10010,2026-04-05,WIRE TRANSFER Clark-Adams REF INV-2169 AND OTHERS,4331.81,CREDIT
TXN-10011,2026-04-06,"PAYMENT FROM Sanchez, Ford and Nelson FOR IN-4598",4317.62,CREDIT
TXN-10012,2026-03-17,"PAYMENT FROM Nguyen, Tate and Brown FOR IN-6168",3309.41,CREDIT
TXN-10013,2026-03-28,ACH PAYMENT Adams-Clark INV-6155,3645.05,CREDIT
TXN-10014,2026-03-20,ACH PAYMENT Rios Group INV-8517,4421.27,CREDIT
TXN-10015,2026-03-24,WIRE TRANSFER Baker and Sons REF INV-9830 AND OTHERS,3417.74,CREDIT
TXN-10016,2026-03-14,"PAYMENT FROM Ross, Robinson and Bright FOR IN-2489",1838.03,CREDIT
TXN-10017,2026-03-14,ACH PAYMENT Callahan and Sons INV-7916,3436.52,CREDIT
TXN-10018,2026-03-18,"WIRE IN Brown, James and Ferrell REF: INV-1188",1633.61,CREDIT
TXN-10019,2026-02-28,"WIRE IN Le, Maldonado and Herrera REF: INV-6573",3723.46,CREDIT
TXN-10020,2026-03-16,ACH PAYMENT Carter and Sons INV-5315,4220.18,CREDIT
TXN-10021,2026-03-27,"PAYMENT FROM Gill, Romero and Rodriguez FOR IN-9317",1264.75,CREDIT
TXN-10022,2026-04-03,"PAYMENT FROM Gonzalez, Brooks and Martin FOR IN-9689",1850.51,CREDIT
TXN-10023,2026-02-23,WIRE TRANSFER George Group REF INV-6947 AND OTHERS,4005.61,CREDIT
TXN-10024,2026-04-05,WIRE IN Allen PLC REF: INV-2403,3959.96,CREDIT
TXN-10025,2026-03-17,"WIRE TRANSFER Tucker, Jones and Hodges REF INV-3103 AND OTHERS",3774.81,CREDIT
TXN-10026,2026-04-08,WIRE TRANSFER Rose-Obrien REF INV-9835 AND OTHERS,1871.5,CREDIT
TXN-10027,2026-03-17,WIRE IN Carney-Santos REF: INV-9479,4143.32,CREDIT
TXN-10028,2026-03-20,ACH PAYMENT Martinez-Walker INV-4770,2539.07,CREDIT
TXN-10029,2026-02-25,"WIRE TRANSFER Robinson, Jones and Welch REF INV-1514 AND OTHERS",5041.46,CREDIT
TXN-10030,2026-03-11,"ACH PAYMENT Young, Caldwell and Lewis INV-8744",3726.84,CREDIT
TXN-10031,2026-03-06,PAYMENT FROM Mueller Group FOR IN-2588,4074.39,CREDIT
TXN-10032,2026-03-17,"ACH PAYMENT Jordan, Henderson and Owens INV-2612",2174.0,CREDIT
TXN-10033,2026-03-31,WIRE TRANSFER Powell LLC REF INV-2790 AND OTHERS,3667.53,CREDIT
TXN-10034,2026-03-06,WIRE IN Herrera and Sons REF: INV-5563,3005.73,CREDIT
TXN-10035,2026-03-20,PAYMENT FROM Wright-Leblanc FOR IN-2604,4366.68,CREDIT
TXN-10036,2026-03-21,WIRE IN Pearson PLC REF: INV-2528,1586.36,CREDIT
TXN-10037,2026-03-20,ACH PAYMENT Martin Group INV-7570,3395.78,CREDIT
TXN-10038,2026-03-31,ACH PAYMENT Martin Inc INV-5345,1447.47,CREDIT
TXN-10039,2026-03-19,PAYMENT FROM Mitchell-Horton FOR IN-8973,1957.81,CREDIT
TXN-10040,2026-04-04,ACH PAYMENT Lee and Sons INV-9883,1342.61,CREDIT
TXN-10041,2026-03-09,ACH PAYMENT Adkins Inc INV-8811,4911.94,CREDIT
TXN-10042,2026-03-21,"WIRE IN Calhoun, Schmidt and Brown REF: INV-4044",1488.57,CREDIT
TXN-10043,2026-04-04,WIRE IN Larson Ltd REF: INV-7615,2040.23,CREDIT
TXN-10044,2026-03-04,WIRE IN David PLC REF: INV-1651,4690.65,CREDIT
TXN-10045,2026-03-20,"PAYMENT FROM Miller, Sandoval and Cunningham FOR IN-5272",2595.97,CREDIT
TXN-10046,2026-03-14,PAYMENT FROM Santiago LLC FOR IN-7484,2752.4,CREDIT
TXN-10047,2026-03-22,WIRE TRANSFER Powers LLC REF INV-2188 AND OTHERS,2525.69,CREDIT
TXN-10048,2026-02-25,"WIRE IN Murillo, Ferrell and Jones REF: INV-3170",3338.76,CREDIT
TXN-10049,2026-03-03,ACH PAYMENT Ibarra-Suarez INV-3584,1915.77,CREDIT
